,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,harper,4.375,-7.7169,77.77,86,92,4.88,LR,1623644204
161,mahebourg,-20.4081,57.7,75.25,68,40,14.97,MU,1623644205
162,takoradi,4.8845,-1.7554,78.87,86,98,7.29,GH,1623643614
163,san vicente,-26.6167,-54.1333,50.59,84,0,2.46,AR,1623644207
164,griffin,33.2468,-84.2641,76.95,95,1,0.0,US,1623644209
165,udaipura,23.0833,78.5,86.52,61,97,13.24,IN,1623644210
166,portobelo,9.55,-79.65,76.62,87,100,8.97,PA,1623644211
167,sechura,-5.5569,-80.8222,68.45,80,47,9.28,PE,1623644212
168,arraial do cabo,-22.9661,-42.0278,68.95,60,56,8.97,BR,1623644215
169,cayenne,4.9333,-52.3333,76.08,91,75,0.0,GF,1623644115
170,puerto rico,-26.796,-55.024,52.3,92,0,2.62,AR,1623644217
171,talnakh,69.4865,88.3972,44.38,83,89,10.36,RU,1623644218
172,hamilton,39.1834,-84.5333,71.44,79,0,2.86,US,1623644009
173,ponta delgada,37.7333,-25.6667,66.92,88,20,8.05,PT,1623644221
174,cururupu,-1.8283,-44.8683,73.33,98,91,2.44,BR,1623644223
175,beringovskiy,63.05,179.3167,34.23,99,100,14.58,RU,1623643936
176,meulaboh,4.1363,96.1285,84.94,68,96,2.35,ID,1623644226
177,minsk,53.9,27.5667,56.95,97,100,13.44,BY,1623644227
178,chakradharpur,22.7,85.6333,83.3,71,93,3.31,IN,1623644228
179,eydhafushi,5.1033,73.0708,83.84,72,100,13.82,MV,1623644230
180,new norfolk,-42.7826,147.0587,58.66,83,98,1.14,AU,1623644232
181,shimoda,34.6667,138.95,79.11,65,99,4.21,JP,1623644233
182,saint-philippe,-21.3585,55.7679,72.95,75,81,16.84,RE,1623643981
183,bagdarin,54.4333,113.6,59.16,57,87,3.06,RU,1623644236
184,vangaindrano,-23.35,47.6,63.72,95,100,3.49,MG,1623644238
185,pafos,34.7667,32.4167,72.23,73,40,6.91,CY,1623644239
186,mandalgovi,45.7625,106.2708,70.16,29,97,6.58,MN,1623644241
187,yinchuan,38.4681,106.2731,70.21,56,100,4.45,CN,1623644242
188,novyy urengoy,66.0833,76.6333,69.64,49,98,10.33,RU,1623644243
189,urusha,54.05,122.9,61.21,96,100,2.57,RU,1623644244
190,adrar,20.5022,-10.0711,94.21,10,95,20.04,MR,1623644245
191,mpulungu,-8.7623,31.1141,63.34,68,62,7.45,ZM,1623644249
192,qui nhon,13.7667,109.2333,86.04,61,100,9.19,VN,1623644250
193,nikolskoye,59.7035,30.7861,62.02,75,86,4.18,RU,1623644251
194,chioggia,45.2256,12.2889,73.4,64,94,14.58,IT,1623644252
195,saint-paul,-21.0096,55.2707,73.49,82,65,1.01,RE,1623644253
196,evans,33.5337,-82.1307,72.01,94,86,2.68,US,1623644255
197,port elizabeth,-33.918,25.5701,57.49,82,0,10.36,ZA,1623644256
198,tuatapere,-46.1333,167.6833,49.82,95,100,2.73,NZ,1623644257
